Unnamed: 0,customer_age,customer_sex,customer_number_of_dependents,customer_education,customer_civil_status,customer_salary_range,customer_relationship_length,customer_available_credit_limit,credit_card_classification,total_products,period_inactive,contacts_in_last_year,credit_card_debt_balance,remaining_credit_limit,transaction_amount_ratio,total_transaction_amount,total_transaction_count,transaction_count_ratio,average_utilization,account_status_knn
0,45.0,0,2,4.0,3.0,5.0,39,18825.100000000013,1,1,2,1,1616,30689.2239843985,0.73443384115899,7129.0,84,0.622709649933134,0.0530340551114407,0
1,49.0,0,2,2.0,3.0,3.0,39,6034.21713009978,1,4,1,2,472,5562.14768429973,0.601162772006929,2449.0,54,0.755622298822687,0.0501362537902205,0
2,52.0,1,2,1.0,3.0,1.0,35,1922.81634937032,1,2,1,2,1003,919.282441025555,0.7101073060857,7477.200000000001,77,0.853080314163463,0.52654246052847,0
3,44.0,1,1,3.0,3.0,1.0,39,3117.45793739294,1,6,1,2,1385,1732.40692822175,0.706557514011879,4606.0,77,0.535171187663228,0.468405593114929,0
4,47.0,0,2,3.0,3.0,1.0,30,18825.100000000013,1,6,2,2,1692,21773.8972523114,0.741077882483822,3603.0,71,0.735059604751646,0.0712455631101536,0
5,51.0,1,1,3.0,2.0,1.0,44,2820.21502151756,1,5,1,3,316,2503.87730218018,0.817093279099509,2461.0,42,0.628404209431207,0.105664673886555,0
6,46.0,0,4,2.0,2.0,2.0,36,8447.61368093813,1,5,2,0,1189,7257.85744010744,0.765708435305029,4317.0,75,0.857849098544415,0.14270615108474,0
7,63.0,0,1,3.0,3.0,3.0,45,2116.26921478392,1,3,2,2,180,1935.74113865772,0.876265628285712,3826.0,58,0.652199477181614,0.0214268017314122,0
8,58.0,1,0,1.0,3.0,2.0,43,1720.67762926371,1,2,3,3,729,990.929274926848,0.802042585811697,2367.0,48,0.550717501629881,0.421085372584638,0
9,42.0,0,2,2.0,3.0,2.0,33,1449.0,1,3,3,2,0,1444.8006004648,0.67438523245247,2574.0,45,0.675900173490749,0.0,1
10,37.0,0,3,3.0,2.0,2.0,27,1875.53995272835,1,1,2,1,1445,430.374772827548,0.681954470405605,5043.0,86,0.740572095453748,0.766529416655968,0
11,45.0,0,2,3.0,2.0,2.0,30,4765.90903337341,1,3,3,4,0,4765.90903337341,0.68577035208505,4970.0,49,0.517711659811431,0.0,0
12,51.0,1,2,2.0,3.0,1.0,36,5675.7399097794,1,4,3,1,2236,3439.39483674039,0.746284975232206,4099.0,79,0.853230371765176,0.409823262484355,0
